Fips	Location	TimeFrame	Data Type	Data	MOE
2	Alaska	2005	Percent	0.13667	5.58E-03
2	Alaska	2006	Percent	0.13488	4.95E-03
2	Alaska	2007	Percent	0.1242	4.87E-03
2	Alaska	2008	Percent	0.13235	4.70E-03
2	Alaska	2009	Percent	0.12319	4.43E-03
2	Alaska	2010	Percent	0.12206	5.41E-03
2	Alaska	2011	Percent	0.14853	6.55E-03
2	Alaska	2012	Percent	0.10923	5.33E-03
2	Alaska	2013	Percent	0.1257	5.91E-03
2	Alaska	2014	Percent	0.14807	5.59E-03
2	Alaska	2015	Percent	0.12834	6.76E-03
2	Alaska	2016	Percent	0.12529	2.05E-02
2	Alaska	2017	Percent	0.11289	2.20E-02
4	Arizona	2005	Percent	0.12725	4.38E-03
4	Arizona	2006	Percent	0.12195	5.65E-03
4	Arizona	2007	Percent	0.13999	4.97E-03
4	Arizona	2008	Percent	0.14249	5.62E-03
4	Arizona	2009	Percent	0.13277	5.44E-03
4	Arizona	2010	Percent	0.13894	5.24E-03
4	Arizona	2011	Percent	0.14011	5.95E-03
4	Arizona	2012	Percent	0.13379	4.40E-03
4	Arizona	2013	Percent	0.14735	1.09E-02
4	Arizona	2014	Percent	0.13911	5.98E-03
4	Arizona	2015	Percent	0.14971	6.69E-03
4	Arizona	2016	Percent	0.13912	1.73E-02
4	Arizona	2017	Percent	0.15173	1.68E-02
5	Arkansas	2005	Percent	0.21014	8.65E-03
5	Arkansas	2006	Percent	0.19293	6.66E-03
5	Arkansas	2007	Percent	0.1951	1.07E-02
5	Arkansas	2008	Percent	0.20356	6.63E-03
5	Arkansas	2009	Percent	0.22917	6.25E-03
5	Arkansas	2010	Percent	0.23193	7.70E-03
5	Arkansas	2011	Percent	0.20023	9.43E-03
5	Arkansas	2012	Percent	0.22635	9.76E-03
5	Arkansas	2013	Percent	0.21928	7.83E-03
5	Arkansas	2014	Percent	0.20953	6.96E-03
5	Arkansas	2015	Percent	0.19131	7.09E-03
5	Arkansas	2016	Percent	0.18725	2.04E-02
5	Arkansas	2017	Percent	0.1953	2.70E-02
6	California	2005	Percent	0.13031	1.91E-03
6	California	2006	Percent	0.13742	1.97E-03
6	California	2007	Percent	0.13059	2.27E-03
6	California	2008	Percent	0.144	2.14E-03
6	California	2009	Percent	0.14249	1.92E-03
6	California	2010	Percent	0.14819	2.12E-03
6	California	2011	Percent	0.14365	2.02E-03
6	California	2012	Percent	0.14206	1.75E-03
6	California	2013	Percent	0.14213	2.16E-03
6	California	2014	Percent	0.14017	2.03E-03
6	California	2015	Percent	0.14035	2.20E-03
6	California	2016	Percent	0.14019	7.50E-03
6	California	2017	Percent	0.12804	6.85E-03
8	Colorado	2005	Percent	0.09646	6.00E-03
8	Colorado	2006	Percent	0.11064	6.47E-03
8	Colorado	2007	Percent	0.106	3.81E-03
8	Colorado	2008	Percent	0.11209	4.19E-03
8	Colorado	2009	Percent	0.11922	4.14E-03
8	Colorado	2010	Percent	0.11507	5.08E-03
8	Colorado	2011	Percent	0.12577	3.89E-03
8	Colorado	2012	Percent	0.12449	3.48E-03
8	Colorado	2013	Percent	0.11098	4.87E-03
8	Colorado	2014	Percent	0.1393	5.32E-03
8	Colorado	2015	Percent	0.14031	6.66E-03
8	Colorado	2016	Percent	0.10605	2.21E-02
8	Colorado	2017	Percent	0.10236	2.18E-02
9	Connecticut	2005	Percent	0.12254	4.02E-03
9	Connecticut	2006	Percent	0.11389	3.68E-03
9	Connecticut	2007	Percent	0.12252	3.97E-03
9	Connecticut	2008	Percent	0.10951	3.58E-03
9	Connecticut	2009	Percent	0.11513	3.87E-03
9	Connecticut	2010	Percent	0.11224	4.08E-03
9	Connecticut	2011	Percent	0.11897	4.00E-03
9	Connecticut	2012	Percent	0.12118	4.08E-03
9	Connecticut	2013	Percent	0.1213	3.89E-03
9	Connecticut	2014	Percent	0.11039	4.93E-03
9	Connecticut	2015	Percent	0.12703	5.54E-03
9	Connecticut	2016	Percent	0.10324	1.98E-02
9	Connecticut	2017	Percent	0.11797	2.19E-02
10	Delaware	2005	Percent	0.13873	5.47E-03
10	Delaware	2006	Percent	0.1273	4.43E-03
10	Delaware	2007	Percent	0.13095	4.69E-03
10	Delaware	2008	Percent	0.12712	4.87E-03
10	Delaware	2009	Percent	0.12322	4.28E-03
10	Delaware	2010	Percent	0.12196	4.93E-03
10	Delaware	2011	Percent	0.13289	4.88E-03
10	Delaware	2012	Percent	0.12695	4.56E-03
10	Delaware	2013	Percent	0.11654	3.95E-03
10	Delaware	2014	Percent	0.11481	4.81E-03
10	Delaware	2015	Percent	0.12406	5.92E-03
10	Delaware	2016	Percent	0.18881	2.33E-02
10	Delaware	2017	Percent	0.1238	1.98E-02
11	Dist. of Columbia	2005	Percent	0.1414	4.96E-03
11	Dist. of Columbia	2006	Percent	0.12575	4.35E-03
11	Dist. of Columbia	2007	Percent	0.11643	3.66E-03
11	Dist. of Columbia	2008	Percent	0.12453	3.95E-03
