DATE,VAUR
1976-01-01,5.8666666666666667
1977-01-01,5.4500000000000000
1978-01-01,5.2750000000000000
1979-01-01,4.7250000000000000
1980-01-01,5.1083333333333333
1981-01-01,5.9416666666666667
1982-01-01,7.4083333333333333
1983-01-01,6.3500000000000000
1984-01-01,5.0666666666666667
1985-01-01,5.4083333333333333
1986-01-01,4.9500000000000000
1987-01-01,4.1833333333333333
1988-01-01,3.9083333333333333
1989-01-01,3.8916666666666667
1990-01-01,4.4166666666666667
1991-01-01,5.8083333333333333
1992-01-01,6.1583333333333333
1993-01-01,5.2000000000000000
1994-01-01,4.8000000000000000
1995-01-01,4.4500000000000000
1996-01-01,4.3166666666666667
1997-01-01,3.7000000000000000
1998-01-01,2.7750000000000000
1999-01-01,2.7000000000000000
2000-01-01,2.2833333333333333
2001-01-01,3.2833333333333333
2002-01-01,4.3583333333333333
2003-01-01,4.3416666666666667
2004-01-01,4.0833333333333333
2005-01-01,3.8250000000000000
2006-01-01,3.3416666666666667
2007-01-01,3.2833333333333333
2008-01-01,4.2750000000000000
2009-01-01,6.8333333333333333
2010-01-01,7.2916666666666667
2011-01-01,6.5416666666666667
2012-01-01,5.9500000000000000
2013-01-01,5.5500000000000000
2014-01-01,5.1166666666666667
2015-01-01,4.3666666666666667
2016-01-01,4.0000000000000000
2017-01-01,3.6666666666666667
2018-01-01,3.0083333333333333
2019-01-01,2.7583333333333333
2020-01-01,6.5083333333333333
2021-01-01,3.8833333333333333
2022-01-01,2.8333333333333333
2023-01-01,.
